키워드순번,키워드명,등록일시
400,smart sensor,2024-06-27
401,lego block,2024-06-27
402,short circuit electromagnetic force,2024-06-27
403,power cable,2024-06-27
404,아르키메데스 풍력터빈,2024-06-27
405,스마트 가로등,2024-06-27
406,스마트 폴,2024-06-27
407,도심지 공원 적용,2024-06-27
408,실증특례,2024-06-27
409,Archimedes small wind turbine,2024-06-27
410,smart street lights,2024-06-27
411,smart poles,2024-06-27
412,urban park application,2024-06-27
413,demonstration exception,2024-06-27
414,배뇨장애,2024-06-27
415,도뇨카테터 세척,2024-06-27
416,방광세척,2024-06-27
417,가정간호,2024-06-27
418,신경인성방,2024-06-27
419,Voiding disorder,2024-06-27
420,Urinary Catheter cleaning,2024-06-27
421,Bladder cleaning,2024-06-27
422,Home care,2024-06-27
423,Neurogenic bladder,2024-06-27
424,연료품질 가이드라인,2024-06-27
425,분쇄성,2024-06-27
426,에너지전환,2024-06-27
427,친환경연료,2024-06-27
428,발전소용 바이오매스,2024-06-27
429,Test Report Guideline of Biofuel,2024-06-27
430,Grindability,2024-06-27
431,Energy Transition,2024-06-27
432,Environmentally Friendly Fuel,2024-06-27
433,Biomass for Power Plant,2024-06-27
434,방사선,2024-06-27
435,전임상시험,2024-06-27
436,로봇시술,2024-06-27
437,Remote interventional procedure,2024-06-27
438,Radiation,2024-06-27
439,Preclinical trial,2024-06-27
440,Robotic procedure,2024-06-27
441,원격 인터벤션,2024-06-27
442,음압,2024-06-27
443,욕창,2024-06-27
444,의료기기,2024-06-27
445,폼드레싱,2024-06-27
446,치료,2024-06-27
447,동공상처,2024-06-27
448,시장확대,2024-06-27
449,산도,2024-06-27
450,Negative Pressure,2024-06-27
451,Pressure Ulcer,2024-06-27
452,Medical Device,2024-06-27
453,Foam Dressing,2024-06-27
454,Treatment,2024-06-27
455,Cavity Wound,2024-06-27
456,Market Expansion,2024-06-27
457,Acidity,2024-06-27
458,습도센서,2024-06-27
459,금속 유기 프레임워크,2024-06-27
460,수분응축,2024-06-27
461,저습환경,2024-06-27
462,정보통신기술,2024-06-27
463,Humidity sensor,2024-06-27
464,Metal Organic Framework,2024-06-27
465,moisture condensation,2024-06-27
466,low humidity environment,2024-06-27
467,Information CommunicationTechnology,2024-06-27
468,수전해조,2024-06-27
469,음이온막,2024-06-27
470,촉매전극,2024-06-27
471,비 귀금속,2024-06-27
472,스텍,2024-06-27
473,Water Electrolyzer,2024-06-27
474,Anion Membrane,2024-06-27
475,Catalysts Electrode,2024-06-27
476,Non Noble Metals,2024-06-27
477,Stacks,2024-06-27
478,전기차 전력,2024-06-26
479,재생에너지,2024-06-26
480,가정용에너지 관리시스템,2024-06-26
481,마이크로그리드 원격 제어,2024-06-26
482,Grid Power,2024-06-26
483,Electric Vehicle Power,2024-06-26
484,Renewable Energy,2024-06-26
485,Home Energy Management System,2024-06-26
486,Microgrid Remote Control,2024-06-26
487,계통전력,2024-06-26
488,습성 연령관련황반변성,2024-06-26
489,생분해성 마이크로니들,2024-06-26
490,병인성 베타 카테닌,2024-06-26
491,신생혈관억제,2024-06-26
492,유효성 평가,2024-06-26
493,Wet age related macular degeneration,2024-06-26
494,dissolving microneedle,2024-06-26
495,aberrant beta catenin,2024-06-26
496,anti angiogenesis,2024-06-26
497,efficacy evaluation,2024-06-26
498,디스플레이,2024-06-26
499,모빌리티,2024-06-26
500,전자파차폐,2024-06-26
501,복합소재,2024-06-26
502,클러스터,2024-06-26
503,Display,2024-06-26
504,Mobility,2024-06-26
505,EMI Shielding,2024-06-26
506,Composite Material,2024-06-26
507,Cluster,2024-06-26
508,인공지능,2024-06-26
509,디지털트윈,2024-06-26
510,클라우드,2024-06-26
511,배터리관리시스템,2024-06-26
512,AI,2024-06-26
513,Digital Twin,2024-06-26
514,Cloud,2024-06-26
515,Battery Management System,2024-06-26
516,미생물 비료,2024-06-26
517,식물생장촉진근권박테리아,2024-06-26
518,불용성 인 분해,2024-06-26
519,사이드로포어,2024-06-26
520,Organic farming material disclosure,2024-06-26
521,Microbial fertilizer,2024-06-26
522,Plant Growth Promoting Rhizobacteria,2024-06-26
523,유기농업자재 작물생육용 공시,2024-06-26
524,Insoluble phosphorus breakdown,2024-06-26
525,Siderophore,2024-06-26
526,로봇제어,2024-06-26
527,서빙자동화,2024-06-26
528,실시간측위,2024-06-26
529,인공지능,2024-06-26
530,트랙주행,2024-06-26
531,로봇암확장,2024-06-26
532,와이어제어,2024-06-26
533,테이블인식,2024-06-26
534,robot control,2024-06-26
535,serving automation,2024-06-26
536,RTLS,2024-06-26
537,AI,2024-06-26
538,Track driving,2024-06-26
539,Robot Arm,2024-06-26
540,Wire Conttorl,2024-06-26
541,Table Recognition,2024-06-26
542,내부자위협,2024-06-25
543,기술유출,2024-06-25
544,정보유출,2024-06-25
545,거대언어모델,2024-06-25
546,악의적내부자,2024-06-25
547,지능형 보안솔루션,2024-06-25
548,위협평가,2024-06-25
549,인물별 위협평가,2024-06-25
550,insider threat,2024-06-25
551,technology leak,2024-06-25
552,information leak,2024-06-25
553,LLM,2024-06-25
554,malicious insider,2024-06-25
555,Intelligent security solution,2024-06-25
556,Threat Assessment,2024-06-25
557,Threat assessment by person,2024-06-25
558,폐자원,2024-06-25
559,재활용,2024-06-25
560,친환경,2024-06-25
561,리튬,2024-06-25
562,세라믹,2024-06-25
563,Waste Resources,2024-06-25
564,Recycling,2024-06-25
565,Eco Friendly,2024-06-25
566,Lithium,2024-06-25
567,Ceramic,2024-06-25
568,디지털 트윈,2024-06-25
569,드론,2024-06-25
570,로봇,2024-06-25
571,안전진단,2024-06-25
572,인공지능,2024-06-25
573,Digital Twin,2024-06-25
574,Drone,2024-06-25
575,Robot,2024-06-25
576,Safety Diagnosis,2024-06-25
577,Artificial Intelligence,2024-06-25
578,엑스레이,2024-06-24
579,유해방사선,2024-06-24
580,호환성,2024-06-24
581,Xray,2024-06-24
582,harmful radiation,2024-06-24
583,compatibility,2024-06-24
584,재활용,2024-06-24
585,폴리실리콘,2024-06-24
586,2차전지음극재,2024-06-24
587,유가금속 회수,2024-06-24
588,solar panel,2024-06-24
589,recyclingvg,2024-06-24
590,polysillicon,2024-06-24
591,secondary battery anode materials,2024-06-24
592,valuable maetal recovery,2024-06-24
593,태양광 패널,2024-06-24
594,소프트 플라즈마 처리,2024-06-24
595,차세대 반도체,2024-06-24
596,화학기상증착장비,2024-06-24
597,도핑,2024-06-24
598,Soft Plasma Treatment,2024-06-24
599,Next generation semiconductorl,2024-06-24
600,MOCVD,2024-06-24
601,Doping,2024-06-24
602,스마트센서,2024-06-23
603,초음파,2024-06-23
604,수위측정,2024-06-23
605,반사파형 제거,2024-06-23
606,인공지능,2024-06-23
607,Smart Sensor,2024-06-23
608,Ultrasonic,2024-06-23
609,Level meter,2024-06-23
610,Elimination of Reflection,2024-06-23
611,Artificial intelligence,2024-06-23
612,루테인,2024-06-22
613,마이크로니들패치,2024-06-22
614,항노화,2024-06-22
615,눈 건강,2024-06-22
616,비건,2024-06-22
617,Lutein,2024-06-22
618,microneedle patch,2024-06-22
619,anti aging,2024-06-22
620,eye health,2024-06-22
621,vegan,2024-06-22
622,쟈켓기초,2024-06-21
623,이중강관 콘크리트,2024-06-21
624,이중강관 기초,2024-06-21
625,풍력 기초,2024-06-21
626,해상 풍력,2024-06-21
627,Jacket foundation,2024-06-21
628,Double steel pipe Concrete,2024-06-21
629,Double steel pipe foundation,2024-06-21
630,Wind power foundation,2024-06-21
631,Offshore wind power,2024-06-21
632,로봇,2024-06-21
633,순시지도,2024-06-21
634,시설물순시,2024-06-21
635,순시계획,2024-06-21
636,통합관제,2024-06-21
637,게이지 인식,2024-06-21
638,자율주행,2024-06-21
639,스팟,2024-06-21
640,Robot,2024-06-21
641,Inspection Map,2024-06-21
642,Facility Inspection,2024-06-21
643,Inspection Planning,2024-06-21
644,Mornitoring System,2024-06-21
645,Gauge recognition,2024-06-21
646,Autonomous Navigation,2024-06-21
647,Spot,2024-06-21
648,근감소증,2024-06-21
649,인공지능,2024-06-21
650,의료용 소프트웨어,2024-06-21
651,예측 모델,2024-06-21
652,자연어 처리,2024-06-21
653,노인의학,2024-06-21
654,정밀의학,2024-06-21
655,근골격계,2024-06-21
656,Sarcopenia,2024-06-21
657,Artificial Intelligence,2024-06-21
658,Medical Software,2024-06-21
659,Prediction Model,2024-06-21
660,Natural language processing,2024-06-21
661,Geriatric medicine,2024-06-21
662,Precision medicine,2024-06-21
663,Musculoskeletal,2024-06-21
664,바이오포트,2024-06-21
665,토양개량제,2024-06-21
666,친환경,2024-06-21
667,토양환경,2024-06-21
668,bioport,2024-06-21
669,soil conditioner,2024-06-21
670,soil environment,2024-06-21
671,ecofriendly,2024-06-21
672,친환경,2024-06-21
673,폐수,2024-06-21
674,재활용,2024-06-21
675,유수 분리,2024-06-21
676,알루미늄,2024-06-21
677,원심분리,2024-06-21
678,eco friendly,2024-06-21
679,wastewater,2024-06-21
680,recycling,2024-06-21
681,water separation,2024-06-21
682,aluminium,2024-06-21
683,aluminium,2024-06-21
684,고령자,2024-06-20
685,보행기,2024-06-20
686,하이브리드,2024-06-20
687,전동제어,2024-06-20
688,고령친화제품,2024-06-20
689,오토폴딩,2024-06-20
690,압형슬라이딩,2024-06-20
691,장애물극복바,2024-06-20
692,Senior,2024-06-20
693,Walker,2024-06-20
694,Hybrid,2024-06-20
695,electric control,2024-06-20
696,Autopolding,2024-06-20
697,overcoming obstacles wheel,2024-06-20
698,pressure sliding,2024-06-20
699,엑스레이,2024-06-20
700,저피폭,2024-06-20
701,호환성,2024-06-20
702,스위,2024-06-20
703,Xray,2024-06-20
704,Low Exposure,2024-06-20
705,compatibility,2024-06-20
706,Switching,2024-06-20
707,산모 태아,2024-06-20
708,멀티모달,2024-06-20
709,심혈관질환,2024-06-20
710,자가진단,2024-06-20
711,웨어러블,2024-06-20
712,Maternal fetal,2024-06-20
713,Multimodal,2024-06-20
714,Cardiovascular disease,2024-06-20
715,Self Diagnosis,2024-06-20
716,Wearable,2024-06-20
717,캔 피엘씨 통신,2024-06-20
718,초급속 충전,2024-06-20
719,출장 충전,2024-06-20
720,에너지저장시스템,2024-06-20
721,삼백오십킬로와트,2024-06-20
722,CAN PLC communication,2024-06-20
723,Super Fast Charging,2024-06-20
724,Charge Delivery,2024-06-20
725,Energy Storage System,2024-06-20
726,350kW,2024-06-20
727,강재이송공정,2024-06-19
728,마그네틱 그리퍼,2024-06-19
729,로봇암,2024-06-19
730,지능형 모니터링,2024-06-19
731,WEB 관제 및 리포팅,2024-06-19
732,Steel Conveying Process,2024-06-19
733,Magnetic gripper,2024-06-19
734,Manipulator,2024-06-19
735,Intelligent Monitoring,2024-06-19
736,Web based Control,2024-06-19
737,동물병원,2024-06-19
738,동물용의료기기,2024-06-19
739,영상획득장치,2024-06-19
740,방사선영상장치,2024-06-19
741,전산화촬영술,2024-06-19
742,팩스시스템,2024-06-19
743,animalhospital,2024-06-19
744,imagingacquisitionequipment,2024-06-19
745,radiolographyimagedevice,2024-06-19
746,computedradiography,2024-06-19
747,pspscanner,2024-06-19
748,vetscanner,2024-06-19
749,pacssystem,2024-06-19
750,업사이클링,2024-06-19
751,도전재,2024-06-19
752,바이오매스,2024-06-19
753,탄소나노소재,2024-06-19
754,폐자원,2024-06-19
755,Upcycling,2024-06-19
756,Conductive,2024-06-19
757,Biomass,2024-06-19
758,Carbon nanomaterias,2024-06-19
759,Waste materials,2024-06-19
760,비만치료제,2024-06-19
761,글루카곤유사펩타이드,2024-06-19
762,비강스프레이,2024-06-19
763,체중 감소,2024-06-19
764,obesity treatment,2024-06-19
765,nasal spray,2024-06-19
766,body weight loss,2024-06-19
767,식물유래 나노소포체,2024-06-19
768,더마코스메틱,2024-06-19
769,바이오플라즈마,2024-06-19
770,엑소좀,2024-06-19
771,대량생산,2024-06-19
772,Plant derived nano vesicles,2024-06-19
773,Derma cosmetics,2024-06-19
774,Bioplasma,2024-06-19
775,Exosome,2024-06-19
776,Mass production,2024-06-19
777,주물사,2024-06-19
778,친환경,2024-06-19
779,졸겔,2024-06-19
780,분무건조,2024-06-19
781,휘발성유기화합물,2024-06-19
782,Foundry Sand,2024-06-19
783,Eco Friendly,2024-06-19
784,Sol Gel,2024-06-19
785,Spay Drying,2024-06-19
786,VOCs,2024-06-19
787,나노크리스탈,2024-06-19
788,인덕턴스,2024-06-19
789,고효율,2024-06-19
790,smd 인덕터,2024-06-19
791,연자성복합체,2024-06-19
792,nanocrystal,2024-06-19
793,inductance,2024-06-19
794,high efficiency,2024-06-19
795,smd inductor,2024-06-19
796,soft magnetic composite,2024-06-19
797,퇴행성뇌질환,2024-06-19
798,알츠하이머,2024-06-19
799,파킨슨,2024-06-19
800,인공지능,2024-06-19
801,Drug development,2024-06-19
802,Neurodegenerative disease,2024-06-19
803,Alzheimer,2024-06-19
804,Parkinson,2024-06-19
805,AI,2024-06-19
806,신약개발,2024-06-19
807,파워옵티마이저,2024-06-19
808,고장진단,2024-06-19
809,태양광모듈 개별모니터링,2024-06-19
810,메쉬무선통신,2024-06-19
811,운영관리,2024-06-19
812,Power Optimizer,2024-06-19
813,Fault diagnosis,2024-06-19
814,Individual PV module monitoring,2024-06-19
815,Mesh wireless communication,2024-06-19
816,Operation Maintenance,2024-06-19
817,멜라토닌 리듬,2024-06-19
818,빛공해,2024-06-19
819,개인 맞춤,2024-06-19
820,서카디언 조도,2024-06-19
821,melatonin rhythm,2024-06-19
822,light pollution,2024-06-19
823,sleep clinic,2024-06-19
824,personal customized,2024-06-19
825,circadian illuminance,2024-06-19
826,수면클리닉,2024-06-19
827,씨잘,2024-06-19
828,사업화,2024-06-19
829,요소기술,2024-06-19
830,시작품,2024-06-19
831,초기상태,2024-06-19
832,보조제,2024-06-19
833,Antiallergics,2024-06-19
834,Tarion,2024-06-19
835,Xyzal,2024-06-19
836,commercialization,2024-06-19
837,element technology,2024-06-19
838,prototype,2024-06-19
839,early stage,2024-06-19
840,auxiliary,2024-06-19
841,알러지성 비염치료제,2024-06-19
842,타리온,2024-06-19
843,하이퍼레저 패브릭,2024-06-19
844,WLAN,2024-06-19
845,블록체인,2024-06-19
846,오프라인 투표,2024-06-19
847,동형암호,2024-06-19
848,Hyperledger Fabric,2024-06-19
849,WLAN,2024-06-19
850,Blockchain,2024-06-19
851,Offline voting,2024-06-19
852,Homomorphic encryption,2024-06-19
853,pharmaceutical material,2024-06-19
854,Veterinary drugs,2024-06-19
855,animal feed additive,2024-06-19
856,chronic kidney disease,2024-06-19
857,Spherical Active Carbon,2024-06-19
858,제약 소재,2024-06-19
859,구형 활성탄,2024-06-19
860,동물의약품,2024-06-19
861,동물사료 첨가제,2024-06-19
862,만성신부전,2024-06-19
863,방사선치료,2024-06-19
864,암,2024-06-19
865,공정개발,2024-06-19
866,정제,2024-06-19
867,제조,2024-06-19
868,Radiotherapy,2024-06-19
869,Cancer,2024-06-19
870,Process Development,2024-06-19
871,Purification,2024-06-19
872,Manufacturing,2024-06-19
873,회수,2024-06-19
874,적정기술,2024-06-19
875,저전력,2024-06-19
876,분류,2024-06-19
877,순환자원,2024-06-19
878,recovery,2024-06-19
879,appropriate technology,2024-06-19
880,low power,2024-06-19
881,classification,2024-06-19
882,recycling resource,2024-06-19
883,산화마그네슘,2024-06-18
884,페로니켈 슬래그,2024-06-18
885,마그네슘 2차 전지,2024-06-18
